Time in ms,flex1,flex2,flex3,flex4,flex5,flex6,Set,Labels
2811,100,199,143,130,77,121,test,2.0
3143,101,200,143,130,78,121,test,2.0
3083,101,199,144,131,79,121,test,2.0
2523,155,197,174,116,54,111,train,2.0
2643,155,197,173,117,53,112,train,2.0
2885,154,197,173,117,54,113,train,2.0
2854,155,197,174,117,53,113,train,2.0
2312,155,197,173,115,53,112,train,2.0
2950,98,200,156,126,68,116,train,2.0
2618,97,198,155,125,68,117,train,2.0
2497,96,198,155,124,69,114,train,2.0
2799,98,198,156,124,69,116,train,2.0
2376,95,196,155,124,68,116,train,2.0
1736,227,136,71,101,85,232,train,3.0
1852,227,136,71,104,84,233,train,3.0
2085,227,137,72,105,86,232,train,3.0
2056,227,137,71,104,85,232,train,3.0
1533,227,134,70,100,81,233,train,3.0
2739,229,131,71,109,85,231,test,3.0
2622,228,132,70,110,83,231,test,3.0
2360,227,130,70,110,84,231,test,3.0
3088,228,133,71,109,87,230,test,3.0
3263,229,133,72,110,87,231,test,3.0
2683,224,126,70,121,87,225,train,3.0
3062,225,127,70,121,89,224,train,3.0
2654,224,127,70,121,88,225,train,3.0
3149,224,127,71,121,90,224,train,3.0
2596,224,126,70,120,90,225,train,3.0
2655,235,126,70,102,75,230,train,3.0
3121,235,128,71,104,76,229,train,3.0
2626,235,125,71,102,74,231,train,3.0
3005,235,128,70,104,75,230,train,3.0
2394,235,124,68,102,73,231,train,3.0
1884,230,129,74,107,74,234,train,3.0
1942,231,130,75,107,74,233,train,3.0
1622,230,129,75,107,74,233,train,3.0
1971,230,131,75,108,75,233,train,3.0
1767,231,129,74,109,72,234,train,3.0
1561,223,132,70,112,81,226,train,3.0
1707,224,132,72,113,82,227,train,3.0
1882,224,133,71,115,82,226,train,3.0
1590,225,132,70,113,81,227,train,3.0
1795,224,132,71,115,82,225,train,3.0
2100,225,124,67,111,74,232,train,3.0
2333,224,126,67,110,75,231,train,3.0
1867,225,123,67,109,73,231,train,3.0
2566,225,127,67,110,77,231,train,3.0
2187,226,125,68,108,76,231,train,3.0
2755,237,129,77,110,69,230,train,3.0
2872,238,128,79,107,71,229,train,3.0
3104,238,129,80,109,71,229,train,3.0
3076,239,129,79,109,70,231,train,3.0
2551,237,128,77,109,69,232,train,3.0
2254,233,128,71,103,75,235,test,3.0
2342,234,126,73,104,78,234,test,3.0
1414,235,120,69,99,71,235,test,3.0
1673,235,122,70,101,74,235,test,3.0
2167,234,126,71,104,77,235,test,3.0
1720,220,131,71,108,84,226,train,3.0
1546,221,131,70,108,82,229,train,3.0
1284,218,129,69,107,81,228,train,3.0
1516,219,131,70,107,84,228,train,3.0
1778,220,132,71,109,84,227,train,3.0
1807,229,141,74,115,89,235,train,3.0
2185,229,144,75,115,93,233,train,3.0
2039,230,144,75,116,91,234,train,3.0
1836,230,143,74,115,90,235,train,3.0
2243,229,144,73,115,92,234,train,3.0
3269,223,133,67,103,84,225,train,3.0
2862,224,130,67,100,83,226,train,3.0
2890,225,131,68,99,84,226,train,3.0
3415,224,132,69,102,85,224,train,3.0
3152,224,132,69,102,85,224,train,3.0
1666,223,127,65,95,68,226,test,3.0
2043,223,129,66,96,71,225,test,3.0
1898,223,129,65,95,70,224,test,3.0
1694,223,127,64,94,68,225,test,3.0
2102,224,130,66,96,71,224,test,3.0
3394,228,129,72,112,85,234,train,3.0
2928,228,129,69,112,83,235,train,3.0
3248,229,130,71,113,84,236,train,3.0
2985,230,129,70,113,83,236,train,3.0
2723,229,128,69,111,82,236,train,3.0
3824,237,149,76,111,91,231,train,3.0
4552,236,151,77,112,93,230,train,3.0
2776,236,148,74,109,88,233,train,3.0
4028,237,150,77,112,91,230,train,3.0
3883,236,149,76,111,93,230,train,3.0
2521,231,132,77,118,78,233,train,3.0
2871,231,134,77,120,77,233,train,3.0
2492,231,131,77,117,77,234,train,3.0
2987,231,135,77,121,77,234,train,3.0
2434,231,131,76,118,75,236,train,3.0
2513,234,130,73,119,69,230,train,3.0
2543,234,128,74,117,69,230,train,3.0
2747,233,131,74,117,70,229,train,3.0
2660,233,130,75,117,70,228,train,3.0
2601,234,130,74,117,70,229,train,3.0
3087,233,109,76,110,75,227,test,3.0
3436,234,109,76,112,76,227,test,3.0
3058,234,108,74,111,75,228,test,3.0
3553,233,111,76,113,74,227,test,3.0
3000,234,108,76,110,75,227,test,3.0
3097,235,150,86,148,81,245,train,3.0
3476,235,151,87,149,82,244,train,3.0
3068,235,148,86,148,81,244,train,3.0
3563,235,151,87,149,82,244,train,3.0
3010,235,148,87,148,81,244,train,3.0
1938,226,128,71,109,70,227,train,3.0
1967,227,128,72,108,68,227,train,3.0
2170,227,129,75,108,71,227,train,3.0
2083,227,128,73,109,71,227,train,3.0
2025,227,128,72,110,69,228,train,3.0
1607,227,134,72,111,69,236,test,3.0
1840,226,136,73,112,72,235,test,3.0
1374,227,132,72,108,68,236,test,3.0
2073,227,136,74,113,72,236,test,3.0
1694,227,135,73,111,70,236,test,3.0
2044,236,130,75,111,65,232,train,3.0
2540,237,130,75,113,67,233,train,3.0
2482,236,131,75,113,68,232,train,3.0
2074,236,129,75,111,67,231,train,3.0
2278,236,130,75,112,65,233,train,3.0
2598,242,134,78,128,79,233,train,3.0
2685,241,135,77,130,78,234,train,3.0
1754,242,130,78,128,75,235,train,3.0
2016,242,130,77,128,76,234,train,3.0
2510,242,134,77,130,78,234,train,3.0
2563,235,137,75,120,83,240,train,3.0
2387,235,136,76,118,84,241,train,3.0
2126,234,133,76,116,82,242,train,3.0
2359,235,134,76,118,83,240,train,3.0
2621,234,137,76,119,85,241,train,3.0
2772,232,132,76,122,78,228,train,3.0
2423,232,131,76,121,76,228,train,3.0
2656,233,130,77,123,76,229,train,3.0
2482,232,131,75,122,76,228,train,3.0
2220,232,130,76,122,75,229,train,3.0
1830,233,134,77,122,72,237,train,3.0
1976,232,136,78,122,74,234,train,3.0
2151,234,135,79,123,74,236,train,3.0
1860,232,135,77,122,73,234,train,3.0
2064,233,136,78,123,72,236,train,3.0
2357,227,132,75,117,78,235,train,3.0
2851,226,134,73,120,78,233,train,3.0
2794,226,134,75,119,79,233,train,3.0
2385,226,132,74,117,76,234,train,3.0
2589,227,133,73,118,77,235,train,3.0
3328,231,138,78,130,81,245,test,3.0
2949,231,137,77,129,80,244,test,3.0
2977,231,138,77,128,79,244,test,3.0
3298,230,139,78,131,80,244,test,3.0
3239,231,138,77,129,80,243,test,3.0
2345,230,127,76,116,71,238,train,3.0
2491,230,128,76,119,70,240,train,3.0
2666,231,131,77,119,72,239,train,3.0
2374,230,129,75,117,70,239,train,3.0
2578,231,128,77,118,71,239,train,3.0
1976,232,126,73,113,76,227,train,3.0
2471,233,129,74,115,76,228,train,3.0
2413,232,128,73,115,77,227,train,3.0
2006,232,126,74,113,76,228,train,3.0
2209,233,128,75,114,76,228,train,3.0
2214,233,169,116,174,140,239,train,3.0
2370,234,169,117,174,140,238,train,3.0
2245,234,169,117,175,139,239,train,3.0
2620,234,171,117,176,139,238,train,3.0
1965,233,165,116,175,138,240,train,3.0
2152,232,184,114,173,137,239,train,3.0
2183,232,184,115,174,138,240,train,3.0
2402,232,185,116,175,137,239,train,3.0
2308,231,185,115,175,138,238,train,3.0
2245,232,185,115,174,137,240,train,3.0
2588,230,173,111,169,133,237,train,3.0
2620,230,174,111,171,133,238,train,3.0
2745,230,173,111,170,134,236,train,3.0
3056,229,174,111,171,134,236,train,3.0
2932,228,175,112,172,134,237,train,3.0
2433,235,169,117,180,132,232,train,3.0
2089,236,168,116,178,131,232,train,3.0
1965,237,168,117,177,131,232,train,3.0
2277,236,171,116,180,132,232,train,3.0
1840,237,167,116,178,130,233,train,3.0
2058,235,171,110,165,131,238,train,3.0
2464,233,174,112,166,134,236,train,3.0
2027,234,170,111,163,131,238,train,3.0
2557,233,174,111,167,133,237,train,3.0
1965,234,170,110,163,131,238,train,3.0
1934,241,175,111,169,131,241,train,3.0
2745,241,183,115,177,133,240,train,3.0
2464,242,181,113,175,133,241,train,3.0
2932,242,183,115,178,133,240,train,3.0
2058,241,177,112,172,131,241,train,3.0
2963,244,181,127,208,129,225,train,3.0
2588,244,179,125,205,128,225,train,3.0
2838,244,180,127,207,129,225,train,3.0
2651,243,179,126,205,129,224,train,3.0
2370,243,178,124,206,127,222,train,3.0
2713,243,171,117,166,118,241,test,3.0
3244,242,174,116,168,120,241,test,3.0
3181,242,175,117,168,117,240,test,3.0
2745,242,172,116,167,119,241,test,3.0
2963,242,174,116,167,119,241,test,3.0
2152,236,185,123,185,142,235,train,3.0
2183,235,185,124,186,141,234,train,3.0
2308,236,185,122,187,141,235,train,3.0
2620,236,187,123,187,143,234,train,3.0
2495,235,186,123,187,142,234,train,3.0
2495,244,189,131,186,145,240,train,3.0
2527,244,189,131,185,144,241,train,3.0
2651,244,190,131,185,144,242,train,3.0
2932,244,192,131,188,145,242,train,3.0
2900,244,190,132,186,146,241,train,3.0
2588,227,181,112,172,133,238,test,3.0
2838,228,182,113,173,133,239,test,3.0
2339,226,180,111,171,131,238,test,3.0
2900,227,182,113,173,134,238,test,3.0
2682,228,183,113,173,132,239,test,3.0
2339,242,175,124,193,140,237,train,3.0
2370,241,176,125,192,141,235,train,3.0
2588,242,176,125,194,142,236,train,3.0
2495,241,176,126,194,142,236,train,3.0
2433,242,176,125,193,142,234,train,3.0
2682,224,192,124,176,144,237,test,3.0
2495,222,192,123,174,144,237,test,3.0
2214,221,190,123,174,143,237,test,3.0
2464,222,191,126,173,144,236,test,3.0
2745,224,192,125,175,145,237,test,3.0
2120,238,179,115,172,141,240,train,3.0
2152,236,179,115,172,141,240,train,3.0
2370,237,180,116,173,141,240,train,3.0
2277,238,180,115,172,140,240,train,3.0
2214,237,179,115,172,141,241,train,3.0
4117,222,190,123,180,148,243,train,3.0
3993,222,189,122,179,149,243,train,3.0
2214,231,178,121,171,115,241,train,3.0
3556,224,188,123,179,146,242,train,3.0
2370,229,182,121,173,123,243,train,3.0
2947,97,176,115,149,101,167,train,4.0
3037,97,176,118,149,102,168,train,4.0
2082,95,171,115,144,97,166,train,4.0
2345,96,173,116,147,99,168,train,4.0
2855,98,175,117,150,101,168,train,4.0
2651,91,162,111,143,93,165,train,4.0
3582,94,167,114,146,99,163,train,4.0
3641,94,167,113,146,99,163,train,4.0
3554,94,166,114,147,99,163,train,4.0
2767,91,163,112,144,96,163,train,4.0
2318,98,168,116,146,101,166,train,4.0
2198,97,168,115,146,100,166,train,4.0
1931,95,165,114,143,99,165,train,4.0
2681,100,170,116,148,102,166,train,4.0
2865,98,171,116,147,103,165,train,4.0
3256,94,162,113,150,97,165,train,4.0
2848,94,160,112,148,95,165,train,4.0
2878,95,160,113,147,96,165,train,4.0
3402,95,161,114,149,98,164,train,4.0
3140,95,162,112,148,96,166,train,4.0
2705,103,179,121,154,112,166,test,4.0
2799,102,180,121,153,112,164,test,4.0
1801,102,176,118,150,109,167,test,4.0
2081,104,177,120,153,112,166,test,4.0
2612,103,178,121,153,113,166,test,4.0
2757,105,168,117,158,103,155,train,4.0
2850,104,169,116,160,102,155,train,4.0
1852,102,165,115,155,102,156,train,4.0
2134,103,167,115,155,102,156,train,4.0
2664,104,169,116,159,103,155,train,4.0
4106,97,170,116,152,103,162,train,4.0
3985,98,172,114,152,103,163,train,4.0
2287,92,162,111,142,96,160,train,4.0
3563,96,170,114,151,103,162,train,4.0
2433,91,162,110,143,94,162,train,4.0
2464,97,163,110,146,99,165,train,4.0
2348,95,163,109,145,96,165,train,4.0
2085,93,162,107,143,96,163,train,4.0
2816,97,165,111,147,100,165,train,4.0
2994,97,167,111,147,100,165,train,4.0
3371,99,168,115,149,99,165,train,4.0
2988,98,167,115,148,98,165,train,4.0
3017,98,168,115,148,98,166,train,4.0
3341,100,168,116,149,99,166,train,4.0
3281,101,168,115,148,99,164,train,4.0
2291,104,176,118,156,107,166,train,4.0
2354,104,175,117,156,107,166,train,4.0
2011,103,175,117,154,106,168,train,4.0
2384,103,176,119,155,108,164,train,4.0
2166,102,175,118,155,108,166,train,4.0
2872,98,167,117,148,99,162,train,4.0
2223,95,164,114,147,96,160,train,4.0
2606,97,166,117,148,99,162,train,4.0
2723,98,166,117,150,99,161,train,4.0
2310,96,163,115,146,98,162,train,4.0
2077,98,164,116,150,101,163,train,4.0
2107,100,163,115,150,102,163,train,4.0
2323,100,166,114,151,102,162,train,4.0
2230,100,165,115,151,101,164,train,4.0
2168,99,165,115,150,101,163,train,4.0
1876,95,152,109,142,97,163,test,4.0
1993,95,152,110,144,97,165,test,4.0
2226,97,153,112,144,97,163,test,4.0
2197,96,153,111,145,97,164,test,4.0
1673,93,149,107,142,95,161,test,4.0
3644,101,169,119,151,104,167,test,4.0
3238,101,168,118,150,103,166,test,4.0
3270,101,167,119,149,104,166,test,4.0
3613,102,170,119,150,104,166,test,4.0
3551,101,168,120,150,104,167,test,4.0
3218,97,174,114,148,100,168,train,4.0
3308,96,174,114,149,100,168,train,4.0
2357,93,169,112,146,98,167,train,4.0
2620,94,171,112,147,100,168,train,4.0
3128,96,174,113,149,100,168,train,4.0
1846,141,157,92,147,89,100,train,4.0
2074,140,157,92,147,89,101,train,4.0
1615,138,154,92,146,88,103,train,4.0
2300,140,157,91,148,89,87,train,4.0
1932,140,156,93,145,88,98,train,4.0
4038,137,135,104,125,72,74,train,4.0
3659,135,133,104,125,72,76,train,4.0
3980,137,133,104,127,73,76,train,4.0
3893,138,132,106,124,72,74,train,4.0
3718,138,134,104,127,73,77,train,4.0
2528,145,157,97,147,76,96,test,4.0
3012,152,159,98,148,74,100,test,4.0
2956,151,157,99,148,76,103,test,4.0
2556,144,156,97,148,75,97,test,4.0
2753,149,156,98,148,75,100,test,4.0
2453,145,145,99,136,94,102,train,4.0
2511,146,147,99,137,95,103,train,4.0
2191,146,146,99,136,94,104,train,4.0
2570,146,146,99,137,94,104,train,4.0
2336,144,145,98,136,94,101,train,4.0
3215,136,142,113,140,81,77,train,4.0
2836,135,141,114,140,80,78,train,4.0
2865,137,141,113,140,82,81,train,4.0
3185,137,141,114,141,81,77,train,4.0
3127,137,142,114,141,80,79,train,4.0
3040,142,133,100,145,98,102,train,4.0
2950,142,133,100,147,98,101,train,4.0
2919,144,132,100,147,97,105,train,4.0
3249,144,133,100,147,98,106,train,4.0
2591,139,132,98,146,96,101,train,4.0
3049,138,152,115,148,107,142,train,4.0
2706,137,153,115,146,105,139,train,4.0
2550,138,152,116,145,104,139,train,4.0
3080,137,152,115,146,106,142,train,4.0
2425,138,151,115,145,103,142,train,4.0
2790,154,153,107,142,84,83,test,4.0
2441,152,152,109,143,84,28,test,4.0
2673,153,152,109,143,84,30,test,4.0
2499,151,153,109,143,85,27,test,4.0
2237,153,153,108,142,83,26,test,4.0
3276,140,143,98,161,84,44,train,4.0
3726,141,144,99,162,81,39,train,4.0
3248,137,143,100,161,80,44,train,4.0
3614,140,144,98,162,82,45,train,4.0
3022,138,142,99,160,80,41,train,4.0
2398,137,138,101,149,87,127,train,4.0
2006,139,140,101,147,86,126,train,4.0
2036,138,137,102,147,86,125,train,4.0
2368,134,139,101,148,86,128,train,4.0
2308,138,138,102,148,86,129,train,4.0
1334,146,145,103,139,84,105,train,4.0
1726,150,145,104,141,84,107,train,4.0
1575,148,144,105,140,83,105,train,4.0
1364,146,142,105,141,84,105,train,4.0
1786,150,146,104,140,84,107,train,4.0
2854,146,152,109,147,96,127,train,4.0
2251,143,151,109,146,95,125,train,4.0
1890,142,150,109,146,95,125,train,4.0
2040,143,151,108,145,96,123,train,4.0
3126,144,151,110,148,98,123,train,4.0
2933,148,137,111,150,90,96,train,4.0
2526,150,138,112,151,90,94,train,4.0
2555,148,137,112,151,90,94,train,4.0
3050,151,139,111,152,90,97,train,4.0
2818,151,137,110,152,91,90,train,4.0
1490,147,137,92,142,102,93,test,4.0
1723,149,139,94,144,102,91,test,4.0
1257,147,137,93,140,101,94,test,4.0
1956,147,141,96,144,103,91,test,4.0
1577,146,138,95,142,104,91,test,4.0
1869,133,141,104,143,104,63,train,4.0
2382,135,142,104,144,104,62,train,4.0
2322,134,141,103,145,103,63,train,4.0
1900,133,143,104,143,103,62,train,4.0
2111,135,140,103,144,102,64,train,4.0
1614,170,221,195,226,146,121,train,4.0
2769,137,161,119,127,107,110,train,4.0
2613,138,163,120,146,175,120,train,4.0
2145,163,225,200,228,158,108,train,4.0
1989,171,216,199,225,160,130,train,4.0
1428,178,209,177,206,162,130,train,4.0
1584,180,215,160,173,119,124,train,4.0
2363,136,156,113,128,161,115,train,4.0
1833,174,195,178,161,109,119,train,4.0
2488,141,158,116,128,129,114,train,4.0
1996,138,160,123,134,84,117,train,4.0
2238,136,162,123,133,88,123,train,4.0
1756,138,160,124,131,81,118,train,4.0
2479,141,162,122,133,91,121,train,4.0
2087,139,161,122,134,87,117,train,4.0
2337,134,155,120,134,91,117,train,4.0
1855,134,150,118,131,91,118,train,4.0
2187,132,155,118,134,92,122,train,4.0
1915,130,152,117,130,93,122,train,4.0
1644,145,148,115,127,92,114,train,4.0
2207,151,150,110,133,112,121,train,4.0
2738,150,150,111,135,117,121,train,4.0
2675,151,150,111,136,117,121,train,4.0
2239,150,150,110,134,111,117,train,4.0
2457,151,151,110,136,115,120,train,4.0
2735,132,153,114,130,82,116,train,4.0
509,167,222,195,235,153,130,train,4.0
2283,130,151,111,126,76,117,train,4.0
1178,181,207,194,239,128,122,train,4.0
871,166,225,196,234,128,127,train,4.0
1998,125,154,114,127,78,118,train,4.0
2029,124,153,116,129,77,115,train,4.0
2240,126,155,117,129,76,116,train,4.0
2150,126,157,113,128,75,114,train,4.0
2089,125,156,116,130,75,116,train,4.0
2299,132,157,111,136,86,124,test,4.0
2450,132,156,112,136,85,124,test,4.0
2631,132,157,112,142,85,122,test,4.0
2329,132,155,112,138,87,125,test,4.0
2540,132,159,114,139,85,126,test,4.0
931,165,215,190,217,149,121,train,4.0
2755,150,153,111,131,86,116,train,4.0
1116,161,215,196,216,157,131,train,4.0
811,166,215,188,219,148,127,train,4.0
1891,190,139,120,208,181,123,train,4.0
2252,113,142,100,116,83,109,train,4.0
2399,108,143,94,115,89,121,train,4.0
2283,110,142,98,114,82,110,train,4.0
2632,109,147,97,116,91,117,train,4.0
2011,135,145,108,122,74,114,train,4.0
3134,121,165,107,127,91,122,test,4.0
2954,118,165,106,124,92,119,test,4.0
2682,117,162,103,124,90,118,test,4.0
2923,119,163,104,123,91,119,test,4.0
3194,121,168,106,126,90,121,test,4.0
1314,122,146,113,132,87,118,train,4.0
1797,127,148,114,132,95,119,train,4.0
1285,121,147,114,130,88,118,train,4.0
1676,129,147,113,134,95,117,train,4.0
1043,119,140,114,130,88,116,train,4.0
1731,124,150,107,121,72,118,test,4.0
1973,120,150,107,124,75,111,test,4.0
1490,145,149,110,116,95,126,test,4.0
2184,122,153,104,124,76,115,test,4.0
1822,121,151,108,123,72,115,test,4.0
1934,106,132,99,119,81,119,train,4.0
1760,101,127,94,116,78,118,train,4.0
1507,96,120,89,111,74,110,train,4.0
1731,99,128,93,117,79,110,train,4.0
1992,107,133,99,122,82,115,train,4.0
2834,137,158,121,132,85,121,train,4.0
3075,139,158,122,132,89,121,train,4.0
1178,165,213,195,219,160,131,train,4.0
2563,137,155,120,128,86,117,train,4.0
1334,170,221,196,226,118,131,train,4.0
1901,149,215,99,126,59,153,train,5.0
2143,148,216,98,128,60,154,train,5.0
1660,150,215,97,125,57,154,train,5.0
2354,149,215,101,128,61,154,train,5.0
1991,149,216,98,127,59,154,train,5.0
2527,145,217,94,114,52,129,train,5.0
2406,145,218,94,112,52,129,train,5.0
2135,145,217,95,112,51,128,train,5.0
2888,145,217,96,115,54,130,train,5.0
3069,145,218,97,113,55,130,train,5.0
2690,151,216,119,137,58,149,train,5.0
2297,153,215,119,136,58,153,train,5.0
2629,151,215,120,137,59,150,train,5.0
2539,151,216,119,138,59,151,train,5.0
2358,151,216,118,137,58,152,train,5.0
2630,143,221,100,138,65,135,train,5.0
2720,143,221,99,139,66,136,train,5.0
1760,143,220,97,136,62,133,train,5.0
2027,144,221,98,138,63,133,train,5.0
2540,143,221,99,139,65,137,train,5.0
3379,142,218,117,128,66,136,test,5.0
3470,142,219,118,127,66,135,test,5.0
2504,142,217,115,126,64,134,test,5.0
2776,141,218,115,126,66,134,test,5.0
3289,142,219,116,127,66,133,test,5.0
2631,136,191,100,125,53,127,train,5.0
2510,137,190,100,126,53,127,train,5.0
2239,136,189,98,125,52,127,train,5.0
2994,136,192,101,127,54,128,train,5.0
3174,137,193,100,128,54,129,train,5.0
2046,143,214,116,126,57,155,train,5.0
2560,145,217,117,129,58,167,train,5.0
2499,145,216,117,128,58,162,train,5.0
2077,143,216,117,128,57,155,train,5.0
2288,142,216,117,128,57,156,train,5.0
2318,142,215,105,135,60,155,train,5.0
1927,141,215,102,134,58,156,train,5.0
2257,141,215,105,135,60,156,train,5.0
2167,142,214,104,134,59,155,train,5.0
1986,143,215,104,134,61,154,train,5.0
2624,149,222,128,143,64,165,train,5.0
2202,149,223,126,142,63,165,train,5.0
2473,150,221,127,142,65,165,train,5.0
2263,149,222,127,142,64,165,train,5.0
1990,151,222,125,142,62,164,train,5.0
2747,140,219,126,140,59,132,train,5.0
2415,139,219,126,141,57,128,train,5.0
2294,139,219,125,140,58,127,train,5.0
2596,141,219,126,142,58,130,train,5.0
2173,141,218,126,139,58,127,train,5.0
2112,150,210,139,151,68,169,train,5.0
2022,151,209,139,150,67,171,train,5.0
1991,151,209,138,150,68,171,train,5.0
2323,150,210,139,151,70,169,train,5.0
1660,152,207,138,149,67,171,train,5.0
1803,152,218,105,147,67,151,train,5.0
2285,152,218,106,147,68,151,train,5.0
1772,153,218,106,146,68,150,train,5.0
2164,152,218,106,147,68,151,train,5.0
1531,152,216,105,145,69,150,train,5.0
2565,149,213,112,128,59,147,test,5.0
2927,148,213,112,130,60,147,test,5.0
2535,147,215,111,127,59,147,test,5.0
3047,149,213,113,128,60,146,test,5.0
2475,149,213,112,128,59,148,test,5.0
4090,148,226,121,135,62,148,test,5.0
1799,149,223,119,129,59,139,test,5.0
2582,148,224,121,132,60,142,test,5.0
2462,149,224,121,131,60,142,test,5.0
2160,148,225,121,131,58,142,test,5.0
2026,159,227,126,135,61,170,train,5.0
1905,158,227,124,135,61,169,train,5.0
1634,159,224,123,132,62,166,train,5.0
2387,158,228,126,137,63,170,train,5.0
2569,159,227,126,138,62,173,train,5.0
3069,142,220,162,134,98,175,train,5.0
3250,143,218,163,133,98,174,train,5.0
1561,141,217,156,128,93,173,train,5.0
3280,141,220,163,134,97,174,train,5.0
1712,139,217,157,128,94,174,train,5.0
3219,144,225,155,127,62,156,train,5.0
2827,143,224,155,126,63,156,train,5.0
2856,143,225,154,126,63,156,train,5.0
3188,144,224,155,127,64,156,train,5.0
3129,144,224,155,126,64,155,train,5.0
3044,152,220,155,131,62,179,test,5.0
3135,152,221,155,132,62,180,test,5.0
2169,152,220,153,129,59,178,test,5.0
2441,153,220,154,130,60,178,test,5.0
2954,151,222,153,132,62,179,test,5.0
2191,149,220,158,137,64,167,train,5.0
1800,149,220,158,135,63,166,train,5.0
2131,150,220,160,136,65,166,train,5.0
2040,150,221,159,135,64,167,train,5.0
1860,150,220,159,135,64,165,train,5.0
2647,155,224,149,128,63,189,train,5.0
2285,155,224,147,126,61,190,train,5.0
2527,154,225,146,128,61,191,train,5.0
2345,155,224,148,126,61,191,train,5.0
2074,155,223,148,124,59,191,train,5.0
2290,152,223,129,130,60,125,train,5.0
4039,151,223,129,135,63,129,train,5.0
2712,150,224,128,131,62,126,train,5.0
2169,152,223,128,129,59,124,train,5.0
3014,151,223,128,132,63,126,train,5.0
2637,157,199,111,123,61,175,train,5.0
3000,158,199,111,123,61,176,train,5.0
2608,157,198,111,123,61,175,train,5.0
3120,157,200,111,124,61,176,train,5.0
2547,157,198,110,125,62,176,train,5.0
2554,153,219,157,126,60,164,test,5.0
2162,152,219,157,124,61,165,test,5.0
2193,152,220,157,123,61,164,test,5.0
2524,153,221,157,125,61,164,test,5.0
2464,152,220,157,125,61,164,test,5.0
2463,154,224,184,132,61,172,train,5.0
2131,154,224,185,131,59,173,train,5.0
2011,153,223,185,130,61,172,train,5.0
2312,154,223,185,131,60,173,train,5.0
1890,154,224,184,129,59,171,train,5.0
3253,150,219,108,140,66,145,train,5.0
2862,149,218,109,138,66,144,train,5.0
2891,150,218,108,138,65,145,train,5.0
3223,150,218,108,140,66,146,train,5.0
3163,150,218,109,138,66,145,train,5.0
2586,153,215,93,148,68,168,train,5.0
2237,154,214,92,147,68,168,train,5.0
2470,154,214,93,148,68,168,train,5.0
2295,154,214,93,148,68,167,train,5.0
2033,154,214,92,145,68,167,train,5.0
2739,152,219,134,143,69,148,train,5.0
2347,152,218,134,142,68,149,train,5.0
2376,151,218,134,142,68,148,train,5.0
2708,151,218,135,143,68,147,train,5.0
2648,152,218,134,143,68,149,train,5.0
2109,151,194,88,134,62,147,train,5.0
2488,151,197,89,135,64,146,train,5.0
2342,151,197,87,135,64,146,train,5.0
2139,151,195,88,134,62,146,train,5.0
2546,150,197,89,137,64,146,train,5.0
2342,146,222,160,127,61,166,test,5.0
2583,145,223,161,128,61,166,test,5.0
2101,146,222,160,127,60,168,test,5.0
2825,146,223,161,129,61,167,test,5.0
2433,145,222,161,128,60,166,test,5.0
2707,153,217,150,132,65,168,train,5.0
2375,154,217,149,131,66,168,train,5.0
2254,154,217,149,130,63,168,train,5.0
2556,154,216,150,131,66,166,train,5.0
2135,154,217,149,129,64,169,train,5.0
2408,148,210,104,127,63,126,train,5.0
2045,148,210,102,127,61,127,train,5.0
1895,148,209,102,124,62,127,train,5.0
2438,148,210,103,127,63,127,train,5.0
1774,149,210,101,126,61,127,train,5.0
2741,147,200,124,159,76,155,test,5.0
2378,150,199,124,157,75,156,test,5.0
2620,148,199,124,158,76,156,test,5.0
2439,148,201,124,157,75,157,test,5.0
2167,149,200,123,157,74,159,test,5.0
2282,150,218,103,135,69,142,train,5.0
1950,151,218,101,133,68,142,train,5.0
1829,150,218,101,132,69,142,train,5.0
2131,151,217,102,134,69,142,train,5.0
1709,151,217,101,132,67,140,train,5.0
2592,150,215,100,138,65,162,train,5.0
2230,149,216,98,137,66,160,train,5.0
2471,149,216,98,138,67,160,train,5.0
2290,150,216,99,136,66,161,train,5.0
2019,150,215,97,136,66,162,train,5.0
3491,150,216,100,131,66,139,train,5.0
3763,150,217,101,131,65,139,train,5.0
3069,151,216,101,128,67,140,train,5.0
2527,151,216,99,127,64,142,train,5.0
3642,151,216,102,129,67,139,train,5.0
1790,152,223,153,133,59,165,train,5.0
2304,151,222,154,134,62,163,train,5.0
2243,151,223,154,135,61,165,train,5.0
1821,151,222,152,134,59,164,train,5.0
2032,152,222,153,134,60,163,train,5.0
1989,149,207,90,119,55,146,train,5.0
2485,149,208,89,121,56,148,train,5.0
2426,150,208,90,121,56,147,train,5.0
2019,149,208,89,121,54,146,train,5.0
2223,150,207,89,121,54,148,train,5.0
1228,149,213,112,112,48,169,train,5.0
1379,151,212,112,113,50,164,train,5.0
2314,149,213,112,119,52,159,train,5.0
2585,149,214,112,119,53,159,train,5.0
1620,150,212,113,114,51,160,train,5.0
1865,154,217,114,134,67,157,test,5.0
1895,154,218,113,135,67,156,test,5.0
2106,155,218,113,136,66,157,test,5.0
2016,156,216,113,135,67,157,test,5.0
1955,155,217,113,135,67,156,test,5.0
2380,154,170,91,135,66,157,train,5.0
1973,154,169,90,134,65,157,train,5.0
2235,154,169,91,135,66,157,train,5.0
2031,154,169,90,135,64,157,train,5.0
1769,155,169,90,133,66,158,train,5.0
2400,152,218,113,136,65,148,train,5.0
2037,152,216,113,136,65,148,train,5.0
