Time in ms,flex1,flex2,flex3,flex4,flex5,flex6,Set,Labels
2421,164,191,70,115,72,138,train,0.0
1955,163,186,70,111,71,140,train,0.0
2654,163,192,72,117,72,139,train,0.0
2276,164,191,71,114,70,139,train,0.0
2817,160,188,69,126,73,147,train,0.0
3195,160,189,71,129,73,149,train,0.0
3049,160,188,72,128,73,148,train,0.0
2845,161,187,70,127,72,148,train,0.0
3253,160,189,71,128,72,147,train,0.0
2462,170,195,69,121,60,127,train,0.0
2374,169,195,67,121,60,125,train,0.0
2345,170,194,67,120,60,125,train,0.0
2666,170,196,70,122,61,127,train,0.0
2025,169,195,66,118,57,124,train,0.0
2631,165,197,68,111,70,121,test,0.0
2224,165,194,66,109,69,123,test,0.0
2486,164,196,67,111,70,120,test,0.0
2282,163,194,68,110,69,123,test,0.0
2020,164,191,67,107,67,122,test,0.0
2245,160,172,72,120,68,155,train,0.0
2071,159,172,72,119,68,155,train,0.0
1809,159,171,71,120,69,152,train,0.0
2041,159,172,71,120,70,155,train,0.0
2304,159,172,73,119,70,154,train,0.0
2765,155,189,69,121,64,137,test,0.0
2299,156,188,67,118,63,136,test,0.0
2620,156,189,69,118,64,137,test,0.0
2358,155,188,67,120,63,137,test,0.0
2096,156,188,68,117,63,137,test,0.0
4187,159,209,71,108,69,141,train,0.0
4391,160,209,72,111,69,142,train,0.0
2643,158,210,70,104,67,135,train,0.0
3954,159,209,72,108,69,140,train,0.0
2789,160,208,70,104,65,135,train,0.0
3047,160,188,69,125,71,152,train,0.0
2581,161,187,69,124,71,154,train,0.0
2902,160,187,70,125,70,155,train,0.0
2639,159,187,69,125,70,152,train,0.0
2377,160,186,70,123,70,154,train,0.0
1892,163,186,70,122,75,136,train,0.0
2386,161,188,72,124,75,137,train,0.0
2329,162,188,70,126,75,134,train,0.0
1921,162,186,71,123,75,134,train,0.0
2124,161,188,71,124,75,136,train,0.0
3069,163,180,72,130,76,136,test,0.0
3156,162,181,72,130,75,136,test,0.0
2225,162,176,71,127,72,137,test,0.0
2487,163,177,71,128,74,136,test,0.0
2981,162,180,71,129,74,136,test,0.0
2913,162,184,73,115,70,168,train,0.0
3059,162,186,73,115,69,168,train,0.0
2942,162,184,74,114,70,168,train,0.0
3292,162,186,74,115,70,167,train,0.0
2680,162,184,72,114,69,168,train,0.0
2488,161,181,70,123,66,144,train,0.0
3245,159,185,72,126,67,145,train,0.0
2982,160,185,71,125,66,143,train,0.0
3420,159,186,72,127,67,145,train,0.0
2605,160,182,71,125,66,144,train,0.0
2310,161,176,70,119,71,145,train,0.0
2339,160,177,69,119,71,145,train,0.0
2543,161,178,70,120,72,146,train,0.0
2455,161,177,71,120,71,147,train,0.0
2398,161,176,70,120,69,148,train,0.0
2461,161,191,74,134,76,122,train,0.0
2694,160,191,75,134,75,121,train,0.0
2228,161,190,72,134,75,121,train,0.0
2927,161,190,72,135,75,122,train,0.0
2548,161,190,73,134,75,122,train,0.0
2661,152,181,68,116,65,150,train,0.0
2544,152,180,69,113,64,151,train,0.0
2282,152,179,67,113,63,150,train,0.0
3010,152,184,69,117,64,150,train,0.0
3184,153,183,68,117,65,150,train,0.0
2426,162,178,69,109,68,143,train,0.0
2455,163,177,70,111,67,144,train,0.0
2572,163,179,71,109,69,141,train,0.0
2864,163,180,71,111,68,141,train,0.0
2747,162,180,71,110,69,141,train,0.0
3240,159,179,71,118,70,143,train,0.0
2891,159,178,70,117,68,143,train,0.0
3125,159,178,72,117,69,144,train,0.0
2950,158,178,71,118,68,145,train,0.0
2688,159,177,71,117,66,144,train,0.0
2714,160,179,65,109,64,136,train,0.0
3472,159,182,67,110,64,137,train,0.0
3210,160,181,67,109,65,136,train,0.0
3646,159,183,67,111,65,137,train,0.0
2831,161,178,66,107,65,136,train,0.0
2395,158,178,72,131,67,161,test,0.0
2627,158,179,73,131,68,161,test,0.0
2161,158,177,70,129,65,159,test,0.0
2831,159,179,73,131,70,161,test,0.0
2482,158,179,72,130,69,159,test,0.0
4086,128,145,116,178,144,189,train,1.0
3743,127,146,116,178,144,190,train,1.0
3618,127,144,114,177,144,190,train,1.0
3931,128,145,116,179,144,189,train,1.0
3493,125,142,115,176,143,188,train,1.0
2932,124,145,116,181,136,187,test,1.0
3463,127,146,116,182,137,188,test,1.0
3400,126,146,117,182,137,187,test,1.0
2963,125,145,116,181,136,189,test,1.0
3181,126,146,116,183,137,189,test,1.0
2963,131,152,120,167,128,194,train,1.0
2620,132,149,120,165,128,193,train,1.0
2495,130,148,120,164,127,192,train,1.0
2807,132,150,121,166,129,193,train,1.0
2370,129,147,118,163,125,191,train,1.0
2418,118,157,109,166,100,189,train,1.0
2668,123,159,111,168,103,190,train,1.0
2174,113,151,108,159,98,188,train,1.0
2731,123,160,111,169,102,191,train,1.0
2511,121,158,111,166,102,190,train,1.0
847,216,225,189,228,159,204,test,1.0
1809,177,158,110,154,118,208,test,1.0
1029,229,221,186,230,157,218,test,1.0
727,209,223,190,230,156,195,test,1.0
2115,143,151,104,149,96,194,test,1.0
2199,142,147,101,140,115,196,train,1.0
2698,149,151,104,145,119,198,train,1.0
2167,143,146,100,141,114,197,train,1.0
2573,149,149,102,144,118,197,train,1.0
1924,138,144,95,133,109,194,train,1.0
2464,120,139,116,179,139,190,train,1.0
1029,202,224,189,232,155,216,train,1.0
2588,123,141,117,181,138,192,train,1.0
2620,124,140,116,182,139,192,train,1.0
365,195,216,192,235,150,175,train,1.0
3431,115,139,114,179,138,187,train,1.0
3836,117,141,113,179,140,188,train,1.0
3400,114,139,112,178,140,187,train,1.0
3931,119,140,115,180,140,187,train,1.0
3338,112,139,113,177,139,186,train,1.0
3045,152,156,114,165,103,189,train,1.0
2702,152,155,113,163,104,188,train,1.0
2577,151,154,112,164,103,188,train,1.0
2889,152,154,114,163,105,187,train,1.0
2452,148,152,111,163,101,188,train,1.0
1559,239,206,172,231,161,230,train,1.0
